t1696	t2308	t1454	t1285	t1907	t2433	t1402	t1408	t5828	t1607	t4854	t1664	t3414	t2663	t4148	t3384	t786	t5357	t685	t2299	t2451	t2305	t3648	t3594	t684	t5350	t5397	t2486	t4094	t2304	t3916	t2432	t7201	t3775	t1277	t2568	t1149	t8719	t6741	t1266	t1940	t797	t1564	t2631	t4758	t2512	t958	t4821	t2431	t8770	t2329	t1813	t1768	t3996	t7893	t4760	t4070	t9121	t1278	t1565	t1321	t2741	t3909	t7069	t1348	t9036	t4759	t2773	t1492	t1143	t1608	t3858	t4573	t8986	t3903	t3598	t9030	t3819	t3286	t4719	t8302	t1789	t1178	t2548	t5688	t1394	t1292	t4249	t4037	t3911	t7102	t1546	t3353	t7622	t1142	t4197	t2706	t1791	t6627	t3908	t3310	t2610	t5141	t3575	t6586	t4583	t7480	t8259	t1870	t7841	t870	t5621	t1843	t3200	t2476	t3076	t4239	t4703	t2795	t1237	t9070	t7190	t1566	t4106	t7448	t4653	t1848	t1846	t7028	t3506	t2609	t4095	t3041	t8800	t2611	t4790	t1411	t3906	t5172	t2470	t5745	t2815	t1311	t8020	t2582	t4120	t5685	t2309	t2375	t1910	t1581	t3160	t6307	t5369	t6771	t1145	t5298	t2724	t5940	t1716	t4962	t3531	t1519	t9020	t9304	t1599	t5105	t1899	t6734	t4188	t5610	t1262	t2732	t5622	t1259	t4870	t5302	t9405	t7101	t3387	t2331	t1240	t3577	t5033	t8786	t5819	t6303	t1106	t4694	t1229	t6898	t5615	t5681	t5704	t9103	t1139	t5488	t6116	t2089	t3559	t7488	t2689	t2025	t2146	t5689	t8407	t1349	t813	t3562	t4784	t7524	t2612	t3615	t3793	t3367	t2374	t3162	t9136	t7104	t1894	t9351	t1495	t3893	t2813	t6707	t1898	t7007	t2191	t8300	t3590	t1264	t2289	t6280	t3602	t679	t2593	t1481	t4875	t1320	t5717	t2393	t792	t1379	t4781	t1355	t5291	t4255	t1449	t3164	t1132	t5192	t6746	t788	t5303	t7585	t7113	t5955	t8636	t2436	t1512	t1557	t5396	t4826	t2753	t2346	t9426	t1126	t1234	t8647	t2599	t4434	t2415	t4116	t7196	t1753	t2404	t2672	t4226	t1130	t3892	t816	t1089	t3773	t4203	t8713	t1535	t6794	t8108	t2427	t1182	t1815	t4084	t5705	t1612	t4266	t4658	t6150	t4433	t4463	t807	t4961	t1122
b1_1_1	535	209	1304	3412	20	0	360	23	0	65	0	0	0	131	233	33	19	0	20	0	0	49	0	41	0	0	0	15	0	19	0	0	55	11	180	0	20	0	0	0	43	47	0	0	0	17	66	0	0	39	0	0	0	0	0	0	0	0	0	0	0	112	0	0	12	0	0	15	0	26	0	0	17	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	14	0	0	0	0	0	0	13	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	17	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b1_1_2	471	432	1527	2493	39	0	159	0	0	69	0	0	0	0	0	0	0	0	18	0	0	0	16	15	0	0	0	25	0	31	38	0	13	0	0	0	0	0	0	0	0	22	0	0	0	36	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	17	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b1_1_3	0	44	998	249	12	25	72	19	0	51	0	124	0	12	17	0	181	0	0	0	77	0	0	0	0	19	0	0	15	0	0	130	0	0	58	0	0	0	0	0	0	0	47	0	86	0	19	24	0	0	0	67	0	35	0	49	14	0	0	0	0	0	0	0	64	86	0	0	0	0	0	0	0	15	0	0	44	30	0	0	0	66	0	29	0	0	0	55	0	0	0	0	0	0	63	0	0	0	0	0	0	26	0	0	0	0	0	0	26	32	0	0	0	13	73	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	18	64	0	0	47	15	0	0	0	252	11	0	0	0	29	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b1_1_6	1152	519	1967	1610	21	0	340	19	0	57	0	0	0	52	139	0	91	0	38	32	0	135	13	34	0	0	0	12	0	26	17	0	0	15	251	0	15	0	0	0	30	40	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	12	0	0	19	0	0	0	0	16	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b1_1_7	520	931	1024	472	69	0	183	18	0	72	0	0	0	23	0	0	15	0	38	0	0	0	19	36	11	0	0	0	480	33	83	0	0	39	41	0	0	0	0	0	0	34	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	42	14	0	0	0	0	0	0	0	0	13	23	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b1_11_1	158	151	2439	1605	21	0	269	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b1_11_2	167	621	1163	1452	14	0	283	17	0	56	0	0	0	0	0	0	0	0	16	0	0	0	28	0	0	0	0	31	0	0	61	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b1_11_3	1296	421	2120	1324	15	33	121	34	0	132	0	0	0	139	152	0	30	0	46	0	0	66	40	38	0	0	0	26	78	40	17	0	28	21	116	0	18	0	0	0	27	51	0	0	0	12	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	11	0	18	0	0	0	0	16	0	0	28	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	18	0	0	0	0	0	0	12	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b1_11_6	282	69	2210	2727	43	0	547	51	0	169	0	0	0	0	0	0	34	0	0	0	0	12	13	0	0	0	0	22	79	0	0	0	0	0	48	0	0	0	0	0	0	31	0	0	0	13	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b1_11_7	61	557	1267	1073	11	0	75	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	11	12	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
