feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t7201	group	M_BIF	3.62950076356535	0.678959277801355	77	47	1.96359049034644e-06	0.000428062726895523
t2451	group	M	1.52334626759335	0.434253712668872	77	58	0.000775981293007923	0.0494696391099551
t7201	group	M	1.94616152540206	0.556812468533201	77	47	0.000814045255574074	0.0494696391099551
t4719	group	M	-1.68842732652351	0.498456606570761	77	24	0.00113462475022833	0.0494696391099551
t8259	group	M_BIF	0.753147158302835	0.219944187254488	77	22	0.00101733937015072	0.0494696391099551
t3384	group	M_BIF	-2.32038452694623	0.709029275913353	77	35	0.00162944484175095	0.059203162583618
t1564	group	M	1.51440656252931	0.498740137863554	77	44	0.00330598522798265	0.0855786923153299
t3903	group	M_BIF	-1.5557540340674	0.516234478634948	77	20	0.00353306527907325	0.0855786923153299
t8259	group	M	0.539470022195001	0.174091838509324	77	22	0.00276822118021633	0.0855786923153299
t5828	group	M	1.25349350485456	0.429013047634625	77	41	0.00464346570493857	0.101227552367661
t2433	group	M	1.08831744133299	0.392382420200107	77	47	0.00705199867542583	0.139757791931166
t1565	group	M	1.09015251520897	0.400152582990533	77	46	0.00806270725353882	0.146472515105955
t4854	group	M	0.594421991287793	0.234510359639467	77	51	0.0134234226377454	0.217669732266659
t1143	group	M_BIF	1.70293084618637	0.676324214086535	77	42	0.0139787901455653	0.217669732266659
t1143	group	M	1.34181860922878	0.540520050636405	77	42	0.0153257604906962	0.221038696821277
t6586	group	M_BIF	-1.36034279554297	0.552861194197684	77	25	0.0162230236199102	0.221038696821277
t1664	group	M	1.42677556465293	0.613655586391615	77	45	0.0228753536086083	0.245011596624365
t4070	group	M	1.44949740664204	0.620131259675929	77	34	0.0221959993817931	0.245011596624365
t4070	group	M_BIF	1.74995202430856	0.756523583242711	77	34	0.0246639607692228	0.245011596624365
t1348	group	M	1.29797529592006	0.574454735081968	77	40	0.0267984233963759	0.245011596624365
t8986	group	M	1.00096676083985	0.432185024770339	77	29	0.0233310241964169	0.245011596624365
t4197	group	M	0.692219507261197	0.306641951724343	77	29	0.0269737537568108	0.245011596624365
t3575	group	M_BIF	0.733261540930411	0.319666136720389	77	29	0.0246423099166016	0.245011596624365
t7841	group	M	0.8213074456021	0.359873768774329	77	22	0.0253536493438958	0.245011596624365
