raw_number_of_reads	raw_mean_read_length	raw_read_length_stdev	perc_filtered	batch
b1_1_2	10634	1311.3	502	47.9499717886026	1
b1_1_3	7124	1308.7	421.8	48.6103312745649	1
b1_1_6	11820	1386.8	389.1	41.3282571912014	1
b1_1_7	7981	1357.4	435.1	45.3201353213883	1
b1_4_2	12537	1265.7	477.3	48.9032463906836	1
b1_4_3	11995	1430.9	301.6	36.8820341809087	1
b1_4_6	11890	976.1	587.2	65.3994953742641	1
b1_4_7	9335	1237.1	480.3	51.644349223353	1
b1_8_2	4494	1201.2	495.3	55.4517133956386	1
b1_8_3	14586	840.1	608.1	72.8301110654052	1
b1_8_6	13966	1159	555	54.009737934985	1
b1_8_7	7234	1379.3	367.4	42.1343654962676	1
b1_11_2	12909	863.7	647.2	69.1687969633589	1
b1_11_3	10866	1444.3	318.7	37.0329468065525	1
b1_11_6	12362	1285.6	485.1	47.6136547484226	1
b1_11_7	8608	1041.1	599.7	61.8959107806691	1
b1_15_2	9685	1350.7	393.2	44.8425400103253	1
b1_15_3	12777	1173.1	541.4	53.9015418329811	1
b1_15_6	11874	1276.3	473.9	48.5093481556342	1
b1_15_7	9595	1425.1	329.7	38.0823345492444	1
b1_18_2	10967	1306.5	444.1	46.5305005926872	1
b1_18_3	9371	1352	406.3	42.7595774196991	1
b1_18_6	10852	1248.2	506.2	50.4699594544784	1
b1_18_7	8379	1234.7	454.3	55.3168635875403	1
b1_22_2	6458	1272.5	436.6	52.5704552493032	1
b1_22_3	10641	1226	514	51.395545531435	1
b1_22_6	11508	1283.8	480.1	48.1664928745221	1
b1_22_7	11614	1347.5	433.1	41.8029963836749	1
b2_1_2	29034	1368	378.9	47.296273334711	2
b2_1_3	36174	1410.6	355	43.1663625808592	2
b2_1_4	45724	1438.1	307.5	41.3852681305223	2
b2_1_5	45448	1362.6	381.9	47.0559760605527	2
b2_4_2	34198	1418.7	343.5	42.9703491432248	2
b2_4_3	33845	1440.5	308.3	40.0088639385434	2
b2_4_4	31606	1418.3	344.7	43.4632664683921	2
b2_4_5	50539	1425.6	329.7	42.2901125863195	2
b2_8_2	25959	1408.1	345.7	43.6573057513772	2
b2_8_3	34272	1409.2	361.8	43.0497198879552	2
b2_8_4	34764	1423.7	331.6	41.7155678287884	2
b2_8_5	25310	1412.6	351.4	44.6463848281312	2
b2_11_2	33126	1425.3	316.4	41.7345891444787	2
b2_11_3	47103	1388.1	361.9	44.160669171815	2
b2_11_4	37318	1405.5	347.4	43.1561176911946	2
b2_11_5	37458	1436.8	312.7	41.0272838912916	2
b2_15_2	34681	1375.9	358.5	45.5926876387647	2
b2_15_3	29457	1258.5	482.7	56.1700105238144	2
b2_15_4	28933	1426.1	328.2	41.4543946358829	2
b2_15_5	26059	1425	315	41.3254537779654	2
b2_18_2	38960	1400.3	348.1	43.3393223819302	2
b2_18_3	30587	1418	350.1	42.6586458299277	2
b2_18_4	36627	1401.5	347.5	42.7853769077457	2
b2_18_5	38338	1417.9	310.4	39.7360321352183	2
b2_22_2	6233	1417.8	317.3	40.0288785496551	2
b2_22_3	22617	1414.6	358.7	42.1320245832781	2
b2_22_4	36194	1359.3	362.9	44.468696469028	2
b2_22_5	41522	1422.9	320.8	41.698376764125	2
b3_15_2	43834	1441	307.1	13.6948487475476	3
b3_15_3	32055	1454.7	280.9	10.843862111995	3
b3_15_4	43139	1452.2	290.3	11.7550244558288	3
b3_18_2	23869	1451.2	292	11.6552850978256	3
b3_18_3	28511	1457.7	275.6	11.2377678790642	3
b3_18_4	35500	1447.6	301.3	12.1464788732394	3
b3_22_2	35078	1440	296.3	12.7515821882662	3
b3_22_3	25074	1455.4	277.4	10.9834888729361	3
b3_22_4	14383	1449.6	306.8	13.0014600570117	3
b3_25_2	31655	1452.8	289.1	12.193966198073	3
b3_25_3	34834	1430	316.3	13.2657748177068	3
b3_25_4	27479	1454.5	282.3	10.9101495687616	3
b3_29_2	30641	1466.2	265.3	9.82996638490911	3
b3_29_3	45082	1453.5	265	10.6982831285214	3
b3_29_4	21922	1473.9	267.3	9.57941793631968	3
b3_32_2	19979	1447.8	283.3	11.9475449221683	3
b3_32_3	24646	1456.2	287.3	11.1093077984257	3
b3_32_4	21343	1448.8	291.9	11.8821159162255	3
b3_36_2	27145	1455.3	281.2	11.1880641002026	3
b3_36_3	69327	1448.8	651.1	11.657795664027	3
b3_36_4	29580	1438.8	295.4	13.3671399594321	3
