superkingdom	phylum	class	order	family	genus
t1696	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	UBA2866
t2308	Bacteria	Firmicutes	Clostridia	TANB77	CAG-508	CAG-354
t1454	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
t1285	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
t1907	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R
t2433	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Dubosiella
t1402	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus
t1408	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium
t5828	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea_B
t1607	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus
t4854	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium_B
t1664	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	UBA3282
t3414	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter_D
t2663	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum
t4148	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella
t3384	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia
t786	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella
t2299	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Longibaculum
t2451	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter
t2305	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485
t3648	Bacteria	Firmicutes	Clostridia	Monoglobales_A	UBA1381	CAG-41
t3594	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-582
t684	Bacteria	Firmicutes	Clostridia	TANB77	CAG-465	CAG-465
t5350	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	CAG-317
t4094	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
t2432	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	COE1
t7201	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-594
t3775	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	SFVR01
t1277	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
t1149	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873
t1940	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173
t797	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9
t2631	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella
t8770	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	C-19
t1813	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95
t4760	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	TF01-11
t4070	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia
t9121	Bacteria	Firmicutes	Clostridia	Monoglobales_A	UBA1381	HGM11530
t1565	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor
t2741	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella
t1348	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola
t4759	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_F
t3858	Bacteria	Firmicutes	Bacilli	RF39	UBA660	DUUS01
t4573	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	CAG-1427
t8986	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Mailhella
t3598	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	CAG-831
t9030	Bacteria	Firmicutes	Clostridia	Lachnospirales	Anaerotignaceae	ASF356
t4719	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella_A
t1178	Bacteria	Firmicutes	Bacilli	RF39	UBA660	UBA3789
t5688	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Stoquefichus
t1292	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Centipeda
t7622	Bacteria	Firmicutes	Bacilli	RF39	UBA660	UMGS995
t4197	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA3263
t3908	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Faecalibacillus
t3310	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Caproiciproducens
t2610	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	UBA9502
t8259	Bacteria	Firmicutes	Bacilli	RF39	UBA660	UBA7057
t1870	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter
t870	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus
t1237	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
t7190	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnotalea
t1566	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UBA9475
t4095	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella
t1411	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Oribacterium
t2309	Bacteria	Firmicutes	Clostridia	TANB77	CAG-508	UMGS1663
t2724	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Clostridium_AQ
t1546	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Rodentibacter
t3387	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Superficieibacter
t5357	Bacteria	Firmicutes	Bacilli	Haloplasmatales_A	Turicibacteraceae	Turicibacter
t8719	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalibaculum
t2431	Bacteria	Spirochaetota	Brachyspirae	Brachyspirales	Brachyspiraceae	Brachyspira
t5397	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Faecalimonas
t3911	Bacteria	Firmicutes	Clostridia_A	Christensenellales	CAG-314	CAG-314
t5141	Bacteria	Firmicutes	Clostridia_A	Christensenellales	RUG350	RUG350
t1791	Bacteria	Firmicutes	Clostridia	Peptostreptococcales	Anaerovoracaceae	Emergencia
t5621	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	CAG-196
t2815	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag1
t8800	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Tidjanibacter
t4106	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Muricomes
t3906	Bacteria	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	CAG-495
t5369	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	CHKCI006
t7893	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemania
t5685	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenella
t2612	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Suicoccus
t5622	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-417
t9136	Bacteria	Firmicutes	Clostridia	Oscillospirales	QAKW01	Firm-08
t7585	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	ZJ304
t2470	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Anaerovibrio
t5745	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	1XD8-76
t1519	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Dwaynesavagella
t2609	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_G
t2146	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_J
t2415	Bacteria	Firmicutes	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus_A
t5704	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Anaeromassilibacillus
t4790	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	CAG-56
t1716	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
t4239	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerocolumna
t3286	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_C
t685	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-460
t4758	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium_A
t3909	Bacteria	Firmicutes	Bacilli	RF39	UBA660	UBA3631
t2304	Bacteria	Firmicutes	Bacilli	RF39	UBA660	UBA5026
t2773	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
t2548	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerosacchariphilus
t6627	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Parasutterella
t5610	Bacteria	Firmicutes	Bacilli	Acholeplasmatales	Anaeroplasmataceae	UMGS268
t3367	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_A	Rhizobiaceae_A	Ochrobactrum_A
t9405	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	QXXE01
t1768	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
t1321	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
t6586	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag111
t1492	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter
t4037	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas
t7841	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UMGS1872
t3575	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Marseille-P3106
t2706	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Caprobacter
t7102	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	An181
t1240	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E
t7069	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Allobaculum
t1394	Bacteria	Firmicutes	Clostridia	Acetivibrionales	Acetivibrionaceae	Hungateiclostridium
t6303	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Pisciglobus
t8020	Bacteria	Firmicutes	Clostridia	Peptostreptococcales	Anaerovoracaceae	Bacilliculturomica
t3562	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Trichococcus
t1898	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter
t6734	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Amedibacterium
t1229	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Metamycoplasmataceae	Mesomycoplasma
t2025	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olegusella
t1142	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster
t4781	Bacteria	Firmicutes	Clostridia	Lachnospirales	DSM-24629	Natranaerovirga
t1608	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas
t9036	Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Mucispirillaceae	Mucispirillum
t7007	Bacteria	Firmicutes	Clostridia	UMGS1810	UMGS1810	NSJ-50
t4188	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81
t679	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A
t1311	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_A	Rhizobiaceae_A	Bartonella
t1126	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia
t1557	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea
t2436	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Kaistella
t6116	Bacteria	Firmicutes	Clostridia	Oscillospirales	CAG-272	RUG13077
t1145	Bacteria	Firmicutes	Clostridia	TANB77	CAG-508	CAG-492
t3041	Bacteria	Firmicutes	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum
t7480	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Butyrivibrio_A
t1612	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
t4694	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium
t1843	Bacteria	Firmicutes	Bacilli	Staphylococcales	Salinicoccaceae	Jeotgalicoccus
t2689	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus_B
t2582	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_Q
t8786	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Sporobacter
