subject_id	group	tumor_size	time_point	batch
b1_m1	M	0.16	7	batch_1
b1_m2	M	0.1225	7	batch_1
b1_m3	M	0	7	batch_1
b1_m4	M	0	7	batch_1
b1_m5	M	0	7	batch_1
b1_m6	M	0	7	batch_1
b1_m7	M	0.04	7	batch_1
b1_m8	M	0.09	7	batch_1
b1_m9	M	0.1225	7	batch_1
b1_m10	M	0.1225	7	batch_1
b1_m11	M	0.04	7	batch_1
b1_m12	M	0.1225	7	batch_1
b1_m1	M	0.49	9	batch_1
b1_m2	M	0.4225	9	batch_1
b1_m3	M	0	9	batch_1
b1_m4	M	0	9	batch_1
b1_m5	M	0	9	batch_1
b1_m6	M	0	9	batch_1
b1_m7	M	0.2025	9	batch_1
b1_m8	M	0.36	9	batch_1
b1_m9	M	0.49	9	batch_1
b1_m10	M	0.36	9	batch_1
b1_m11	M	0.3025	9	batch_1
b1_m12	M	0.36	9	batch_1
b1_m1	M	0.9025	11	batch_1
b1_m2	M	0.5625	11	batch_1
b1_m3	M	0.36	11	batch_1
b1_m4	M	0.16	11	batch_1
b1_m5	M	0.2025	11	batch_1
b1_m6	M	0.16	11	batch_1
b1_m7	M	0.49	11	batch_1
b1_m8	M	0.64	11	batch_1
b1_m9	M	0.4225	11	batch_1
b1_m10	M	0.75	11	batch_1
b1_m11	M	0.36	11	batch_1
b1_m12	M	0.9025	11	batch_1
b1_m1	M	0.9	14	batch_1
b1_m2	M	0.64	14	batch_1
b1_m3	M	1	14	batch_1
b1_m4	M	0.4225	14	batch_1
b1_m5	M	0.3	14	batch_1
b1_m6	M	0.945	14	batch_1
b1_m8	M	1.575	14	batch_1
b1_m9	M	1.035	14	batch_1
b1_m10	M	0.5525	14	batch_1
b1_m11	M	0.49	14	batch_1
b1_m12	M	0.4225	14	batch_1
b1_m2	M	1.5625	16	batch_1
b1_m3	M	1	16	batch_1
b1_m5	M	0.9025	16	batch_1
b1_m6	M	1.8225	16	batch_1
b1_m8	M	2.145	16	batch_1
b1_m9	M	1.3225	16	batch_1
b1_m10	M	1.21	16	batch_1
b1_m11	M	1	16	batch_1
b1_m12	M	0.5625	16	batch_1
b1_m2	M	1.96	18	batch_1
b1_m3	M	1.3225	18	batch_1
b1_m5	M	1	18	batch_1
b1_m9	M	1.62	18	batch_1
b1_m10	M	1.5625	18	batch_1
b1_m11	M	1.3225	18	batch_1
b1_m12	M	0.945	18	batch_1
b1_m1ac1	M_LAC	0	7	batch_1
b1_m1ac2	M_LAC	0	7	batch_1
b1_m1ac3	M_LAC	0	7	batch_1
b1_m1ac4	M_LAC	0	7	batch_1
b1_m1ac5	M_LAC	0	7	batch_1
b1_m1ac6	M_LAC	0.1225	7	batch_1
b1_m1ac7	M_LAC	0.2025	7	batch_1
b1_m1ac8	M_LAC	0.16	7	batch_1
b1_m1ac9	M_LAC	0.09	7	batch_1
b1_m1ac10	M_LAC	0	7	batch_1
b1_m1ac11	M_LAC	0	7	batch_1
b1_m1ac12	M_LAC	0	7	batch_1
b1_m1ac1	M_LAC	0.1225	9	batch_1
b1_m1ac2	M_LAC	0.2025	9	batch_1
b1_m1ac3	M_LAC	0.1225	9	batch_1
b1_m1ac4	M_LAC	0.36	9	batch_1
b1_m1ac5	M_LAC	0	9	batch_1
b1_m1ac6	M_LAC	0.36	9	batch_1
b1_m1ac7	M_LAC	0.4225	9	batch_1
b1_m1ac8	M_LAC	0.36	9	batch_1
b1_m1ac9	M_LAC	0.2025	9	batch_1
b1_m1ac10	M_LAC	0.0625	9	batch_1
b1_m1ac11	M_LAC	0.2025	9	batch_1
b1_m1ac12	M_LAC	0.1225	9	batch_1
b1_m1ac1	M_LAC	0.2025	11	batch_1
b1_m1ac2	M_LAC	0.36	11	batch_1
b1_m1ac3	M_LAC	0.3025	11	batch_1
b1_m1ac4	M_LAC	0.4225	11	batch_1
b1_m1ac5	M_LAC	0	11	batch_1
b1_m1ac6	M_LAC	0.4225	11	batch_1
b1_m1ac7	M_LAC	0.64	11	batch_1
b1_m1ac8	M_LAC	0.36	11	batch_1
b1_m1ac9	M_LAC	0.09	11	batch_1
b1_m1ac10	M_LAC	0.25	11	batch_1
b1_m1ac11	M_LAC	0.64	11	batch_1
b1_m1ac12	M_LAC	0.375	11	batch_1
b1_m1ac1	M_LAC	0.3025	14	batch_1
b1_m1ac2	M_LAC	0.825	14	batch_1
b1_m1ac3	M_LAC	0.36	14	batch_1
b1_m1ac5	M_LAC	0	14	batch_1
b1_m1ac6	M_LAC	0.49	14	batch_1
b1_m1ac7	M_LAC	0.49	14	batch_1
